car_codigo;car_id;car_descripcion;car_fechainicio;car_fechafin;car_modalidad;carr_activo
4;SCOP;TÉCNICO SUPERIOR EN SEGURIDAD CIUDADANA Y ORDEN PÚBLICO;2012-10-10;;1;t
5;SP;TÉCNICO SUPERIOR EN SEGURIDAD PENITENCIARIA;2012-10-10;;1;t
11;TAPS;TECNICO SUPERIOR EN ATENCION PRIMARIA DE SALUD;2016-02-02;;1;t
6;TSE;TECNOLOGÍA SUPERIOR EN ELECTRICIDAD;2012-10-10;;4;t
7;TSPM;TECNOLOGÍA SUPERIOR EN PROCESAMIENTO INDUSTRIAL DE LA MADERA;2012-10-10;;4;t
9;TSMI;TECNOLOGÍA SUPERIOR EN MECÁNICA INDUSTRIAL;2012-10-10;;4;t
3;DII;TECNOLOGÍA EN DESARROLLO INFANTIL INTEGRAL;2012-10-10;;4;t
1;TAS;TECNOLOGÍA EN ANÁLISIS DE SISTEMAS;1998-10-10;;1;t
2;SDS;TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE;2012-10-10;;1;t
8;EDTS;ENTRENAMIENTO DEPORTIVO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR;2012-10-10;;1;t
