mat_codigo;mat_carrera;mat_id;mat_nombre;mat_creditos;mat_ciclo;mat_tipo;mat_eje;mat_tipoacreditacion;mat_totalhoras
18;1;LEPR II;LENGUAJE DE PROGRAMACIÓN II;180;3;M;3;H;90
367;7;ING B1.2;INGLÉS B1.2;24;4;C;25;H;160
327;3;DIIFP-01;FASE PRÁCTICA 1;0;1;M;10;H;600
329;3;DIIFP-02;FASE PRÁCTICA 2;0;2;M;10;H;600
331;3;DIIFP-03;FASE PRÁCTICA 3;0;3;M;10;C;600
335;3;DIIFP-05;FASE PRÁCTICA 5;0;5;M;10;H;600
332;3;DIIFP-04;FASE PRÁCTICA 4;0;4;M;24;H;600
326;3;DIIPI-01;PTI 1;0;1;M;24;H;100
328;3;DIIPI-02;PTI 2;0;2;M;24;H;100
330;3;DIIPI-03;PTI 3;0;3;M;24;H;100
333;3;DIIPI-04;PTI 4;0;4;M;24;H;100
334;3;DIIPI-05;PTI 5;0;5;M;24;H;100
39;2;MTD01;MATEMÁTICA DISCRETA;10;1;M;4;C;90
33;1;MENU;MÉTODOS NUMÉRICOS;100;6;M;2;H;54
336;6;TSEPTI-01;PTI 1;0;1;M;22;C;100
337;6;TSEFP-01;FASE PRÁCTICA 1;0;1;M;20;C;400
338;6;TSEPTI-02;PTI 2;0;2;M;22;C;0
339;6;TSEFP-02;FASE PRÁCTICA 2;0;2;M;22;C;400
341;6;TSEFP-03;FASE PRÁCTICA 3;0;3;M;22;C;400
340;6;TSEPTI-03;PTI 3;0;3;M;22;C;0
342;6;TSEPTI-04;PTI 4;0;4;M;22;C;0
343;6;TSEFP-04;FASE PRÁCTICA 4;0;4;M;22;H;400
344;6;TSEPTI-05;PTI 5;0;5;M;22;H;0
345;6;TSEFP-05;FASE PRÁCTICA 5;0;5;M;22;H;400
368;5;ING_01;INGLÉS A1;10;3;M;17;C;72
60;2;DAM04;DESARROLLO DE APLICACIONES MÓVILES;10;4;M;6;C;90
346;9;TSMIPTI-01;PTI 1;0;1;M;31;C;100
347;9;TSMIFP-01;FASE PRÁCTICA 1;0;1;M;31;H;400
348;9;TSMIPTI-02;PTI 2;0;2;M;31;H;0
349;9;TSMIFP-02;FASE PRÁCTICA 2;0;2;M;31;H;400
350;9;TSMIPTI-03;PTI 3;0;3;M;31;H;0
351;9;TSMIFP-03;FASE PRÁCTICA 3;0;3;M;31;H;400
352;9;TSMIPTI-04;PTI 4;0;4;M;31;H;0
353;9;TSMIFP-04;FASE PRÁCTICA 4;0;4;M;31;H;400
354;9;TSMIPTI-05;PTI 5;0;5;M;31;H;100
114;4;COEII-02;COMUNICACIÓN ORAL Y ESCRITA II;10;2;M;13;C;90
355;9;TSMIFP-05;FASE PRÁCTICA 5;0;5;M;31;H;400
169;6;SEIN;SEGURIDAD INDUSTRIAL;46;2;M;20;H;90
356;7;TSPMPTI-01;PTI 1;0;1;M;27;H;100
357;7;TSPMFP-01;FASE PRÁCTICA 1;0;1;M;27;C;400
358;7;TSPMPTI-02;PTI 2;0;2;M;27;H;0
359;7;TSPMFP-02;FASE PRÁCTICA 2;0;2;M;27;H;400
360;7;TSPMPTI-03;PTI 3;0;3;M;27;H;100
361;7;TSPMFP-03;FASE PRÁCTICA 3;0;3;M;27;H;400
362;7;TSPMPTI-04;PTI 4;0;4;M;27;H;100
363;7;TSPMFP-04;FASE PRÁCTICA 4;0;4;M;27;H;400
364;7;TSPMPTI-05;PTI 5;0;5;M;27;H;100
365;7;TSPMFP-05;FASE PRÁCTICA 5;0;5;M;27;H;400
247;9;MI-FIS;FISICA;10;1;M;29;C;90
248;9;MI-QUI;QUIMICA;10;1;M;29;C;90
366;8;INGA2ED;INGLÉS A2 (INTERMEDIO);2;2;C;34;H;2
278;10;FMF-01;FUNDAMENTOS DE LA MORFOFUNCIÓN;10;1;M;37;C;90
20;1;ELEC II;ELECTRÓNICA II;111;4;M;2;H;54
3;1;MADI;MATEMÁTICA DISCRETA;99;1;M;2;H;54
4;1;ING I;INGLES I;114;1;M;2;H;54
5;1;CONT I;CONTABILIDAD I;75;1;M;2;H;36
7;1;ING II;INGLES II;95;2;M;2;H;54
40;2;DSP01;DESARROLLO DEL PENSAMIENTO;10;1;M;5;C;90
41;2;IDS01;INTRODUCCIÓN AL DESARROLLO DE SOFTWARE;10;1;M;4;C;90
42;2;FDP01;FUNDAMENTOS DE PROGRAMACIÓN;10;1;M;6;C;90
43;2;ADS01;ANÁLISIS Y DISEÑO DE SISTEMAS;10;1;M;6;C;90
44;2;ING01;INGLÉS A1(BÁSICO);10;1;M;5;C;90
45;2;AGT02;ALGEBRA Y TRIGONOMETRÍA;10;2;M;4;C;90
