lug_codigo;lug_id;lug_nombre;lug_nivel;lug_referencia
1;593;ECUADOR;1;
2;01;Provincia del Azuay;2;1
3;02;Provincia de Bolívar;2;1
4;03;Provincia de Cañar;2;1
5;04;Provincia del Carchi;2;1
6;05;Provincia de Cotopaxi;2;1
7;06;Provincia de Chimborazo;2;1
8;07;Provincia de El Oro;2;1
9;08;Provincia de Esmeraldas;2;1
10;09;Provincia del Guayas;2;1
11;10;Provincia de Imbabura;2;1
12;11;Provincia de Loja;2;1
13;12;Provincia de Los Ríos;2;1
14;13;Provincia de Manabí;2;1
15;14;Provincia de Morona Santiago;2;1
16;15;Provincia de Napo;2;1
17;16;Provincia de Pastaza;2;1
18;17;Provincia de Pichincha;2;1
19;18;Provincia del Tungurahua;2;1
20;19;Provincia de Zamora;2;1
21;20;Provincia de Galápagos;2;1
22;21;Provincia de Sucumbíos;2;1
23;22;Provincia de Orellana;2;1
24;23;Provincia de Santo Domingo de Los Tsáchilas;2;1
25;24;Provincia de Santa Elena;2;1
26;0101;CUENCA;3;2
27;0102;GIRON;3;2
28;0103;GUALACEO;3;2
29;0104;NABON;3;2
30;0105;PAUTE;3;2
31;0106;PUCARA;3;2
32;0107;SAN FERNANDO;3;2
33;0108;SANTA ISABEL;3;2
34;0109;SIGSIG;3;2
35;0110;OÑA;3;2
36;0111;CHORDELEG;3;2
37;0112;EL PAN;3;2
38;0113;SEVILLA DE ORO;3;2
39;0114;GUACHAPALA;3;2
40;0115;CAMILO PONCE ENRIQUEZ;3;2
41;0201;GUARANDA;3;3
42;0202;CHILLANES;3;3
43;0203;CHIMBO;3;3
44;0204;ECHEANDIA;3;3
45;0205;SAN MIGUEL;3;3
46;0206;CALUMA;3;3
47;0207;LAS NAVES;3;3
48;0301;AZOGUES;3;4
49;0302;BIBLIAN;3;4
50;0303;CAÑAR;3;4
51;0304;LA TRONCAL;3;4
52;0305;EL TAMBO;3;4
53;0306;DELEG;3;4
54;0307;SUSCAL;3;4
55;0401;TULCAN;3;5
56;0402;BOLIVAR;3;5
57;0403;ESPEJO;3;5
58;0404;MIRA;3;5
59;0405;MONTUFAR;3;5
60;0406;SAN PEDRO DE HUACA;3;5
61;0501;LATACUNGA;3;6
62;0502;LA MANA;3;6
63;0503;PANGUA;3;6
64;0504;PUJILI;3;6
65;0505;SALCEDO;3;6
66;0506;SAQUISILI;3;6
67;0507;SIGCHOS;3;6
68;0601;RIOBAMBA;3;7
69;0602;ALAUSI;3;7
70;0603;COLTA;3;7
71;0604;CHAMBO;3;7
72;0605;CHUNCHI;3;7
73;0606;GUAMOTE;3;7
74;0607;GUANO;3;7
75;0608;PALLATANGA;3;7
76;0609;PENIPE;3;7
77;0610;CUMANDA;3;7
78;0701;MACHALA;3;8
79;0702;ARENILLAS;3;8
80;0703;ATAHUALPA;3;8
81;0704;BALSAS;3;8
82;0705;CHILLA;3;8
83;0706;EL GUABO;3;8
84;0707;HUAQUILLAS;3;8
85;0708;MARCABELI;3;8
86;0709;PASAJE;3;8
87;0710;PIÑAS;3;8
88;0711;PORTOVELO;3;8
89;0712;SANTA ROSA;3;8
90;0713;ZARUMA;3;8
91;0714;LAS LAJAS;3;8
92;0801;ESMERALDAS;3;9
93;0802;ELOY ALFARO;3;9
94;0803;MUISNE;3;9
95;0804;QUININDE;3;9
96;0805;SAN LORENZO;3;9
97;0806;ATACAMES;3;9
98;0807;RIOVERDE;3;9
99;0901;GUAYAQUIL;3;10
100;0902;ALFREDO BAQUERIZO MORENO (JUJAN);3;10
101;0903;BALAO;3;10
102;0904;BALZAR;3;10
103;0905;COLIMES;3;10
104;0906;DAULE;3;10
105;0907;DURAN;3;10
106;0908;EL EMPALME;3;10
107;0909;EL TRIUNFO;3;10
108;0910;MILAGRO;3;10
109;0911;NARANJAL;3;10
110;0912;NARANJITO;3;10
111;0913;PALESTINA;3;10
112;0914;PEDRO CARBO;3;10
113;0916;SAMBORONDON;3;10
114;0918;SANTA LUCIA;3;10
115;0919;URBINA JADO;3;10
116;0920;YAGUACHI;3;10
117;0921;PLAYAS;3;10
118;0922;SIMON BOLIVAR;3;10
119;0923;CORONEL MARCELINO MARIDUEÑA;3;10
120;0924;LOMAS DE SARGENTILLO;3;10
121;0925;NOBOL;3;10
122;0927;GENERAL ANTONIO ELIZALDE;3;10
123;0928;ISIDRO AYORA;3;10
124;1001;IBARRA;3;11
125;1002;ANTONIO ANTE;3;11
126;1003;COTACACHI;3;11
127;1004;OTAVALO;3;11
128;1005;PIMAMPIRO;3;11
129;1006;SAN MIGUEL DE URCUQUI;3;11
130;1101;LOJA;3;12
131;1102;CALVAS;3;12
132;1103;CATAMAYO;3;12
133;1104;CELICA;3;12
134;1105;CHAGUARPAMBA;3;12
135;1106;ESPINDOLA;3;12
136;1107;GONZANAMA;3;12
137;1108;MACARA;3;12
138;1109;PALTAS;3;12
139;1110;PUYANGO;3;12
140;1111;SARAGURO;3;12
141;1112;SOZORANGA;3;12
142;1113;ZAPOTILLO;3;12
143;1114;PINDAL;3;12
144;1115;QUILANGA;3;12
145;1116;OLMEDO;3;12
146;1201;BABAHOYO;3;13
147;1202;BABA;3;13
148;1203;MONTALVO;3;13
149;1204;PUEBLOVIEJO;3;13
150;1205;QUEVEDO;3;13
151;1206;URDANETA;3;13
152;1207;VENTANAS;3;13
153;1208;VINCES;3;13
154;1209;PALENQUE;3;13
155;1210;BUENA FE;3;13
156;1211;VALENCIA;3;13
157;1212;MOCACHE;3;13
158;1213;QUINSALOMA;3;13
159;1301;PORTOVIEJO;3;14
160;1302;BOLIVAR;3;14
161;1303;CHONE;3;14
162;1304;EL CARMEN;3;14
163;1305;FLAVIO ALFARO;3;14
164;1306;JIPIJAPA;3;14
165;1307;JUNIN;3;14
